sie	ɕ ɛ
rytuałów	r ɘ t u a w u f
samsunga	s a m s u ŋ ɡ a
sand	s a n t
scenariuszu	s t͡s ɛ n a r j u ʂ u
serwerach	s ɛ r v ɛ r a x
shi	ʂ i
shop	ʂ ɔ p
shrek	ʂ r ɛ k
siedzieliśmy	ɕ ɛ d͡ʑ ɛ l i ɕ m ɘ
sięgając	ɕ ɛ ŋ ɡ a j ɔ n t͡s
skojarzeń	s k ɔ j a ʐ ɛ ɲ
skrajną	s k r a j n ɔ w̃
skrzynię	s k ʂ ɘ ɲ ɛ
solaris	s ɔ l a r i s
solidna	s ɔ l i d n a
spisał	s p i s a w
spisie	s p i ɕ ɛ
spogląda	s p ɔ ɡ l ɔ n d a
sponsorzy	s p ɔ n s ɔ ʐ ɘ
stwierdziłam	s t f j ɛ r d͡ʑ i w a m
sugerując	s u ɡ ɛ r u j ɔ n t͡s
swetry	s f ɛ t r ɘ
sączu	s ɔ n t͡ʂ u
słupska	s w u p s k a
tamtejszym	t a m t ɛ j ʂ ɘ m
technicznymi	t ɛ x ɲ i t͡ʂ n ɘ m i
tkanin	t k a ɲ i n
tomka	t ɔ m k a
tonacji	t ɔ n a t͡s j i
translate	t r a n s l a t ɛ
tworzyły	t f ɔ ʐ ɘ w ɘ
twórcami	t f u r t͡s a m i
uchwycił	u x f ɘ t͡ɕ i w
udaną	u d a n ɔ w̃
ukrywania	u k r ɘ v a ɲ a
układach	u k w a d a x
układają	u k w a d a j ɔ w̃
umowach	u m ɔ v a x
unikania	u ɲ i k a ɲ a
urwał	u r v a w
urzędowym	u ʐ ɛ n d ɔ v ɘ m
uzupełniających	u z u p ɛ w ɲ a j ɔ n t͡s ɘ x
uzyskany	u z ɘ s k a n ɘ
ville	v i l l ɛ
weekly	v i k l ɘ
wielkanocy	v j ɛ l k a n ɔ t͡s ɘ
wiezienia	v j ɛ ʑ ɛ ɲ a
wodociągowej	v ɔ d ɔ t͡ɕ ɔ ŋ ɡ ɔ v ɛ j
wroclaw	v r ɔ t͡s l a f
wspomnianym	f s p ɔ m ɲ a n ɘ m
wstała	f s t a w a
wstydzą	f s t ɘ d͡z ɔ w̃
wychowuje	v ɘ x ɔ v u j ɛ
wylądowała	v ɘ l ɔ n d ɔ v a w a
wypracowania	v ɘ p r a t͡s ɔ v a ɲ a
wypuszcza	v ɘ p u ʂ t͡ʂ a
wypuści	v ɘ p u ɕ t͡ɕ i
wyrabia	v ɘ r a b j a
wyrzucają	v ɘ ʐ u t͡s a j ɔ w̃
wysiłkiem	v ɘ ɕ i w k j ɛ m
wystartuje	v ɘ s t a r t u j ɛ
wzgledu	v z ɡ l ɛ d u
zabawnych	z a b a v n ɘ x
zack	z a t͡s k
zadośćuczynienia	z a d ɔ ɕ t͡ɕ u t͡ʂ ɘ ɲ ɛ ɲ a
zanotował	z a n ɔ t ɔ v a w
zaobserwowano	z a ɔ p s ɛ r v ɔ v a n ɔ
zaplanowanych	z a p l a n ɔ v a n ɘ x
zapowiedziała	z a p ɔ v j ɛ d͡ʑ a w a
zarobisz	z a r ɔ b i ʂ
zarobku	z a r ɔ p k u
zarzutami	z a ʐ u t a m i
zasnął	z a s n ɔ w
zastanówcie	z a s t a n u f t͡ɕ ɛ
zatrzymanych	z a t ʂ ɘ m a n ɘ x
zawory	z a v ɔ r ɘ
zdrowotną	z d r ɔ v ɔ t n ɔ w̃
zeta	z ɛ t a
zjadła	z j a d w a
zmierzają	z m j ɛ ʐ a j ɔ w̃
znikome	z ɲ i k ɔ m ɛ
zo	z ɔ
zrozumieniu	z r ɔ z u m j ɛ ɲ u
zróżnicowana	z r u ʐ ɲ i t͡s ɔ v a n a
zwiększania	z v j ɛ ŋ k ʂ a ɲ a
zwolniono	z v ɔ l ɲ ɔ n ɔ
zwrócone	z v r u t͡s ɔ n ɛ
złotówki	z w ɔ t u f k i
złośliwości	z w ɔ ɕ l i v ɔ ɕ t͡ɕ i
łączną	w ɔ n t͡ʂ n ɔ w̃
śliczną	ɕ l i t͡ʂ n ɔ w̃
świętokrzyskiego	ɕ f j ɛ n t ɔ k ʂ ɘ s k j ɛ ɡ ɔ
żę	ʐ ɛ
aktualną	a k t u a l n ɔ w̃
alfonso	a l f ɔ n s ɔ
alive	a l i v ɛ
api	a p i
autobusowych	a w t ɔ b u s ɔ v ɘ x
banalne	b a n a l n ɛ
banery	b a n ɛ r ɘ
biznesmena	b i z n ɛ s m ɛ n a
biznesmenów	b i z n ɛ s m ɛ n u f
blu	b l u
bojowej	b ɔ j ɔ v ɛ j
boksu	b ɔ k s u
bombardowanie	b ɔ m b a r d ɔ v a ɲ ɛ
budownictwie	b u d ɔ v ɲ i t͡s t f j ɛ
błędna	b w ɛ n d n a
charakterystykę	x a r a k t ɛ r ɘ s t ɘ k ɛ
charytatywnych	x a r ɘ t a t ɘ v n ɘ x
ciudad	t͡ɕ u d a t
ciśnieniem	t͡ɕ i ɕ ɲ ɛ ɲ ɛ m
coco	t͡s ɔ t͡s ɔ
cultural	t͡s u l t u r a l
cyfrową	t͡s ɘ f r ɔ v ɔ w̃
czasowej	t͡ʂ a s ɔ v ɛ j
częstochowskiej	t͡ʂ ɛ n s t ɔ x ɔ f s k j ɛ j
dirty	d i r t ɘ
dochodząc	d ɔ x ɔ d͡z ɔ n t͡s
dowcipy	d ɔ f t͡ɕ i p ɘ
dreams	d r ɛ a m s
duchowych	d u x ɔ v ɘ x
dymisję	d ɘ m i s j ɛ
dystrybucję	d ɘ s t r ɘ b u t͡s j ɛ
dzieciakami	d͡ʑ ɛ t͡ɕ a k a m i
dziennikarskie	d͡ʑ ɛ n ɲ i k a r s k j ɛ
dziwnej	d͡ʑ i v n ɛ j
egzekucje	ɛ ɡ z ɛ k u t͡s j ɛ
egzotyczne	ɛ ɡ z ɔ t ɘ t͡ʂ n ɛ
elfy	ɛ l f ɘ
emerytalnych	ɛ m ɛ r ɘ t a l n ɘ x
entuzjazmem	ɛ n t u z j a z m ɛ m
erik	ɛ r i k
fenomenu	f ɛ n ɔ m ɛ n u
frajerzy	f r a j ɛ ʐ ɘ
funny	f u n n ɘ
garrett	ɡ a r ɛ t
gibson	ɡ i p s ɔ n
gigantów	ɡ i ɡ a n t u f
globalną	ɡ l ɔ b a l n ɔ w̃
glowie	ɡ l ɔ v j ɛ
gmachu	ɡ m a x u
graficznych	ɡ r a f i t͡ʂ n ɘ x
heroes	x ɛ r ɔ ɛ s
holly	x ɔ l l ɘ
hyde	x ɘ d ɛ
identyfikator	i d ɛ n t ɘ f i k a t ɔ r
irina	i r i n a
jae	j a ɛ
jakbyście	j a ɡ b ɘ ɕ t͡ɕ ɛ
jeffrey	j ɛ f r ɛ j
jump	j u m p
kabaretu	k a b a r ɛ t u
kaczyńskim	k a t͡ʂ ɘ ɲ s k i m
kinder	k i n d ɛ r
komunikowania	k ɔ m u ɲ i k ɔ v a ɲ a
konserwatywnym	k ɔ n s ɛ r v a t ɘ v n ɘ m
kontynentów	k ɔ n t ɘ n ɛ n t u f
kontynuowanie	k ɔ n t ɘ n u ɔ v a ɲ ɛ
kopnął	k ɔ p n ɔ w
korepetycje	k ɔ r ɛ p ɛ t ɘ t͡s j ɛ
kradzione	k r a d͡ʑ ɔ n ɛ
kreatywnych	k r ɛ a t ɘ v n ɘ x
kremy	k r ɛ m ɘ
krzewów	k ʂ ɛ v u f
księżnej	k ɕ ɛ n ʐ n ɛ j
kształtem	k ʂ t a w t ɛ m
kulturową	k u l t u r ɔ v ɔ w̃
kupujących	k u p u j ɔ n t͡s ɘ x
latwo	l a t f ɔ
leczą	l ɛ t͡ʂ ɔ w̃
legalnego	l ɛ ɡ a l n ɛ ɡ ɔ
lektorem	l ɛ k t ɔ r ɛ m
liczącej	l i t͡ʂ ɔ n t͡s ɛ j
lokomotywy	l ɔ k ɔ m ɔ t ɘ v ɘ
lotnicza	l ɔ t ɲ i t͡ʂ a
magią	m a ɡ j ɔ w̃
mailową	m a i l ɔ v ɔ w̃
mati	m a t i
medialnego	m ɛ d j a l n ɛ ɡ ɔ
mercy	m ɛ r t͡s ɘ
michele	m i x ɛ l ɛ
militarnej	m i l i t a r n ɛ j
mobilności	m ɔ b i l n ɔ ɕ t͡ɕ i
moderator	m ɔ d ɛ r a t ɔ r
modyfikacje	m ɔ d ɘ f i k a t͡s j ɛ
moskwą	m ɔ s k f ɔ w̃
motywami	m ɔ t ɘ v a m i
możnaby	m ɔ ʐ n a b ɘ
nagrodzona	n a ɡ r ɔ d͡z ɔ n a
naj	n a j
napierdala	n a p j ɛ r d a l a
napisal	n a p i s a l
napoli	n a p ɔ l i
napędza	n a p ɛ n d͡z a
narodzinach	n a r ɔ d͡ʑ i n a x
nauczyliśmy	n a u t͡ʂ ɘ l i ɕ m ɘ
nawoływanie	n a v ɔ w ɘ v a ɲ ɛ
nielegalnej	ɲ ɛ l ɛ ɡ a l n ɛ j
niepełnosprawnym	ɲ ɛ p ɛ w n ɔ s p r a v n ɘ m
niesprawiedliwości	ɲ ɛ s p r a v j ɛ d l i v ɔ ɕ t͡ɕ i
niestosowne	ɲ ɛ s t ɔ s ɔ v n ɛ
obejrzał	ɔ b ɛ j ʐ a w
obserwacją	ɔ p s ɛ r v a t͡s j ɔ w̃
odbiorze	ɔ d b j ɔ ʐ ɛ
oddaniem	ɔ d d a ɲ ɛ m
odniosło	ɔ d ɲ ɔ s w ɔ
odporna	ɔ t p ɔ r n a
odwrocie	ɔ d v r ɔ t͡ɕ ɛ
określający	ɔ k r ɛ ɕ l a j ɔ n t͡s ɘ
okręgowym	ɔ k r ɛ ŋ ɡ ɔ v ɘ m
opisując	ɔ p i s u j ɔ n t͡s
opracowała	ɔ p r a t͡s ɔ v a w a
orderu	ɔ r d ɛ r u
organizacyjną	ɔ r ɡ a ɲ i z a t͡s ɘ j n ɔ w̃
osadzone	ɔ s a d͡z ɔ n ɛ
osiągnęliśmy	ɔ ɕ ɔ ŋ ɡ n ɛ l i ɕ m ɘ
osłonę	ɔ s w ɔ n ɛ
otrzymywania	ɔ t ʂ ɘ m ɘ v a ɲ a
otworem	ɔ t f ɔ r ɛ m
palace	p a l a t͡s ɛ
pasujące	p a s u j ɔ n t͡s ɛ
paz	p a s
percy	p ɛ r t͡s ɘ
poczuj	p ɔ t͡ʂ u j
poczują	p ɔ t͡ʂ u j ɔ w̃
podajesz	p ɔ d a j ɛ ʂ
podatkach	p ɔ d a t k a x
poddani	p ɔ d d a ɲ i
poddawane	p ɔ d d a v a n ɛ
podzieliła	p ɔ d͡ʑ ɛ l i w a
pokazujące	p ɔ k a z u j ɔ n t͡s ɛ
pokrewnych	p ɔ k r ɛ v n ɘ x
policyjnym	p ɔ l i t͡s ɘ j n ɘ m
policyjną	p ɔ l i t͡s ɘ j n ɔ w̃
policzki	p ɔ l i t͡ʂ k i
poniedziałki	p ɔ ɲ ɛ d͡ʑ a w k i
poprzedzającym	p ɔ p ʂ ɛ d͡z a j ɔ n t͡s ɘ m
poradni	p ɔ r a d ɲ i
portretu	p ɔ r t r ɛ t u
posiadacze	p ɔ ɕ a d a t͡ʂ ɛ
poszukując	p ɔ ʂ u k u j ɔ n t͡s
potraktował	p ɔ t r a k t ɔ v a w
potępienia	p ɔ t ɛ m p j ɛ ɲ a
powiedzie	p ɔ v j ɛ d͡ʑ ɛ
powstrzymał	p ɔ f s t ʂ ɘ m a w
pozwoleniem	p ɔ z v ɔ l ɛ ɲ ɛ m
pozyskiwanie	p ɔ z ɘ s k i v a ɲ ɛ
pracującej	p r a t͡s u j ɔ n t͡s ɛ j
prado	p r a d ɔ
preparaty	p r ɛ p a r a t ɘ
prezesie	p r ɛ z ɛ ɕ ɛ
projektantów	p r ɔ j ɛ k t a n t u f
protestanci	p r ɔ t ɛ s t a n t͡ɕ i
przebiegła	p ʂ ɛ b j ɛ ɡ w a
przedziału	p ʂ ɛ d͡ʑ a w u
przedłużenia	p ʂ ɛ d w u ʐ ɛ ɲ a
przestępczością	p ʂ ɛ s t ɛ m p t͡ʂ ɔ ɕ t͡ɕ ɔ w̃
przewrotu	p ʂ ɛ v r ɔ t u
przełożonego	p ʂ ɛ w ɔ ʐ ɔ n ɛ ɡ ɔ
prześladowani	p ʂ ɛ ɕ l a d ɔ v a ɲ i
przybrał	p ʂ ɘ b r a w
przychodzili	p ʂ ɘ x ɔ d͡ʑ i l i
przyczyni	p ʂ ɘ t͡ʂ ɘ ɲ i
przyjechałam	p ʂ ɘ j ɛ x a w a m
przyjrzyjmy	p ʂ ɘ j ʐ ɘ j m ɘ
psychiatrycznym	p s ɘ x j a t r ɘ t͡ʂ n ɘ m
płytach	p w ɘ t a x
randall	r a n d a l
rece	r ɛ t͡s ɛ
renty	r ɛ n t ɘ
reszte	r ɛ ʂ t ɛ
ronaldo	r ɔ n a l d ɔ
rozbieżności	r ɔ z b j ɛ ʐ n ɔ ɕ t͡ɕ i
rozbiórki	r ɔ z b j u r k i
rysowania	r ɘ s ɔ v a ɲ a
rywale	r ɘ v a l ɛ
rządzili	ʐ ɔ ɲ d͡ʑ i l i
rósł	r u s w
siedlisk	ɕ ɛ d l i s k
sobię	s ɔ b j ɛ
spaliła	s p a l i w a
specjalistyczne	s p ɛ t͡s j a l i s t ɘ t͡ʂ n ɛ
spirit	s p i r i t
sportowca	s p ɔ r t ɔ f t͡s a
sports	s p ɔ r t s
sposobach	s p ɔ s ɔ b a x
spożywczego	s p ɔ ʐ ɘ f t͡ʂ ɛ ɡ ɔ
sprawowanie	s p r a v ɔ v a ɲ ɛ
sprzecznych	s p ʂ ɛ t͡ʂ n ɘ x
spędzał	s p ɛ n d͡z a w
stadiony	s t a d j ɔ n ɘ
standardowych	s t a n d a r d ɔ v ɘ x
standardową	s t a n d a r d ɔ v ɔ w̃
strumienie	s t r u m j ɛ ɲ ɛ
sukcesywnie	s u k t͡s ɛ s ɘ v ɲ ɛ
sung	s u ŋ k
suszone	s u ʂ ɔ n ɛ
szkołami	ʂ k ɔ w a m i
sánchez	s a ŋ x ɛ s
sąsiednim	s ɔ w̃ ɕ ɛ d ɲ i m
służyły	s w u ʐ ɘ w ɘ
tarnowa	t a r n ɔ v a
tea	t ɛ a
teatralnej	t ɛ a t r a l n ɛ j
texas	t ɛ k s a s
tradycyjnymi	t r a d ɘ t͡s ɘ j n ɘ m i
trasach	t r a s a x
trenował	t r ɛ n ɔ v a w
trolla	t r ɔ l l a
trudnościami	t r u d n ɔ ɕ t͡ɕ a m i
trójmieście	t r u j m j ɛ ɕ t͡ɕ ɛ
turniejów	t u r ɲ ɛ j u f
twierdziła	t f j ɛ r d͡ʑ i w a
uchwalenia	u x f a l ɛ ɲ a
ujawni	u j a v ɲ i
ujścia	u j ɕ t͡ɕ a
umiarkowanym	u m j a r k ɔ v a n ɘ m
usunięta	u s u ɲ ɛ n t a
utracone	u t r a t͡s ɔ n ɛ
uzupełniają	u z u p ɛ w ɲ a j ɔ w̃
ułoży	u w ɔ ʐ ɘ
używaną	u ʐ ɘ v a n ɔ w̃
vale	v a l ɛ
warmii	v a r m j i
wicepremiera	v i t͡s ɛ p r ɛ m j ɛ r a
wiceprezesa	v i t͡s ɛ p r ɛ z ɛ s a
wieżowce	v j ɛ ʐ ɔ f t͡s ɛ
wizualizacji	v i z u a l i z a t͡s j i
wkurwiają	f k u r v j a j ɔ w̃
wodno	v ɔ d n ɔ
wojenną	v ɔ j ɛ n n ɔ w̃
worków	v ɔ r k u f
wskazujące	f s k a z u j ɔ n t͡s ɛ
wtorki	f t ɔ r k i
wybuchły	v ɘ b u x w ɘ
wyklęty	v ɘ k l ɛ n t ɘ
wykonawcą	v ɘ k ɔ n a f t͡s ɔ w̃
wymyśliła	v ɘ m ɘ ɕ l i w a
wyruszyli	v ɘ r u ʂ ɘ l i
występująca	v ɘ s t ɛ m p u j ɔ n t͡s a
wytworzenia	v ɘ t f ɔ ʐ ɛ ɲ a
wywiadem	v ɘ v j a d ɛ m
wyłączeniem	v ɘ w ɔ n t͡ʂ ɛ ɲ ɛ m
wzbudził	v z b u d͡ʑ i w
wznosi	v z n ɔ ɕ i
wójta	v u j t a
zaawansowanej	z a a v a n s ɔ v a n ɛ j
zablokowanie	z a b l ɔ k ɔ v a ɲ ɛ
zadbaj	z a d b a j
zakopanego	z a k ɔ p a n ɛ ɡ ɔ
zaliczony	z a l i t͡ʂ ɔ n ɘ
zamieniają	z a m j ɛ ɲ a j ɔ w̃
zaprzeczył	z a p ʂ ɛ t͡ʂ ɘ w
zarządzane	z a ʐ ɔ n d͡z a n ɛ
zastrzeżone	z a s t ʂ ɛ ʐ ɔ n ɛ
zaśpiewał	z a ɕ p j ɛ v a w
zebys	z ɛ b ɘ s
zgłosiłem	z ɡ w ɔ ɕ i w ɛ m
zleceń	z l ɛ t͡s ɛ ɲ
zmierzających	z m j ɛ ʐ a j ɔ n t͡s ɘ x
zmuszanie	z m u ʂ a ɲ ɛ
zniesiono	z ɲ ɛ ɕ ɔ n ɔ
zniknęli	z ɲ i k n ɛ l i
znoszą	z n ɔ ʂ ɔ w̃
zużyte	z u ʐ ɘ t ɛ
zwolnili	z v ɔ l ɲ i l i
ścisłym	ɕ t͡ɕ i s w ɘ m
żelazną	ʐ ɛ l a z n ɔ w̃
żeromskiego	ʐ ɛ r ɔ m s k j ɛ ɡ ɔ
żywienia	ʐ ɘ v j ɛ ɲ a
abe	a b ɛ
aktorstwa	a k t ɔ r s t f a
angielsko	a ŋ ɡ j ɛ l s k ɔ
antybiotyków	a n t ɘ b j ɔ t ɘ k u f
aptek	a p t ɛ k
atmosferyczne	a t m ɔ s f ɛ r ɘ t͡ʂ n ɛ
autentyczności	a w t ɛ n t ɘ t͡ʂ n ɔ ɕ t͡ɕ i
autonomicznej	a w t ɔ n ɔ m i t͡ʂ n ɛ j
beth	b ɛ t
billie	b i l j ɛ
boksie	b ɔ k ɕ ɛ
bostonu	b ɔ s t ɔ n u
browaru	b r ɔ v a r u
brzmisz	b ʐ m i ʂ
bylby	b ɘ l b ɘ
check	x ɛ t͡s k
ciasteczek	t͡ɕ a s t ɛ t͡ʂ ɛ k
cieplutko	t͡ɕ ɛ p l u t k ɔ
cierpień	t͡ɕ ɛ r p j ɛ ɲ
clive	t͡s l i v ɛ
czasowa	t͡ʂ a s ɔ v a
daja	d a j a
dans	d a n s
dariusza	d a r j u ʂ a
dodatkami	d ɔ d a t k a m i
dojrzała	d ɔ j ʐ a w a
dokonywanych	d ɔ k ɔ n ɘ v a n ɘ x
doktorzy	d ɔ k t ɔ ʐ ɘ
doktorów	d ɔ k t ɔ r u f
domagam	d ɔ m a ɡ a m
droższa	d r ɔ ʂ ʂ a
dyplomaci	d ɘ p l ɔ m a t͡ɕ i
działającym	d͡ʑ a w a j ɔ n t͡s ɘ m
dzieciakiem	d͡ʑ ɛ t͡ɕ a k j ɛ m
dziesiątek	d͡ʑ ɛ ɕ ɔ n t ɛ k
egzotycznych	ɛ ɡ z ɔ t ɘ t͡ʂ n ɘ x
ein	ɛ i n
emocjonalnym	ɛ m ɔ t͡s j ɔ n a l n ɘ m
ewidentne	ɛ v i d ɛ n t n ɛ
expo	ɛ k s p ɔ
fact	f a t͡s t
fałszywym	f a w ʂ ɘ v ɘ m
geographic	ɡ ɛ ɔ ɡ r a f i t͡s
giuseppe	ɡ j u s ɛ p p ɛ
graniczną	ɡ r a ɲ i t͡ʂ n ɔ w̃
graniczy	ɡ r a ɲ i t͡ʂ ɘ
gruzu	ɡ r u z u
hokeja	x ɔ k ɛ j a
holokaustu	x ɔ l ɔ k a w s t u
homofobii	x ɔ m ɔ f ɔ b j i
indeksu	i n d ɛ k s u
intelektualne	i n t ɛ l ɛ k t u a l n ɛ
inteligentnym	i n t ɛ l i ɡ ɛ n t n ɘ m
jadący	j a d ɔ n t͡s ɘ
joachim	j ɔ a x i m
julius	j u l j u s
językową	j ɛ n z ɘ k ɔ v ɔ w̃
karierą	k a r j ɛ r ɔ w̃
katie	k a t j ɛ
kałuży	k a w u ʐ ɘ
kerry	k ɛ r r ɘ
kierowcom	k j ɛ r ɔ f t͡s ɔ m
klauzuli	k l a w z u l i
klientowi	k l j ɛ n t ɔ v i
klęską	k l ɛ n s k ɔ w̃
kojarzysz	k ɔ j a ʐ ɘ ʂ
koktajle	k ɔ k t a j l ɛ
kolesiem	k ɔ l ɛ ɕ ɛ m
komplikacji	k ɔ m p l i k a t͡s j i
komunie	k ɔ m u ɲ ɛ
koncentrację	k ɔ n t͡s ɛ n t r a t͡s j ɛ
konczy	k ɔ n t͡ʂ ɘ
konsolę	k ɔ n s ɔ l ɛ
kontrolowanych	k ɔ n t r ɔ l ɔ v a n ɘ x
kopercie	k ɔ p ɛ r t͡ɕ ɛ
kramer	k r a m ɛ r
krwawienia	k r f a v j ɛ ɲ a
kubą	k u b ɔ w̃
kulinarne	k u l i n a r n ɛ
lekarskim	l ɛ k a r s k i m
lewackie	l ɛ v a t͡s k j ɛ
logic	l ɔ ɡ i t͡s
lotniczą	l ɔ t ɲ i t͡ʂ ɔ w̃
lowe	l ɔ v ɛ
ludnością	l u d n ɔ ɕ t͡ɕ ɔ w̃
lądują	l ɔ n d u j ɔ w̃
marcelo	m a r t͡s ɛ l ɔ
marsh	m a r ʂ
marszów	m a r ʂ u f
martwiłam	m a r t f i w a m
marzyłam	m a ʐ ɘ w a m
mater	m a t ɛ r
małopolsce	m a w ɔ p ɔ l s t͡s ɛ
małżeńskie	m a w ʐ ɛ ɲ s k j ɛ
meh	m ɛ x
mexico	m ɛ k s i t͡s ɔ
middle	m i d d l ɛ
mieszankę	m j ɛ ʂ a ŋ k ɛ
ming	m i ŋ k
minimalnych	m i ɲ i m a l n ɘ x
mocarstw	m ɔ t͡s a r s t f
modlił	m ɔ d l i w
motywacją	m ɔ t ɘ v a t͡s j ɔ w̃
mózgowych	m u z ɡ ɔ v ɘ x
młodu	m w ɔ d u
nabrała	n a b r a w a
nadwozia	n a d v ɔ ʑ a
najważniejszego	n a j v a ʐ ɲ ɛ j ʂ ɛ ɡ ɔ
nakręca	n a k r ɛ n t͡s a
napisu	n a p i s u
nieskończenie	ɲ ɛ s k ɔ ɲ t͡ʂ ɛ ɲ ɛ
nowotworu	n ɔ v ɔ t f ɔ r u
obawiając	ɔ b a v j a j ɔ n t͡s
obawiał	ɔ b a v j a w
obchodzony	ɔ p x ɔ d͡z ɔ n ɘ
obejrzysz	ɔ b ɛ j ʐ ɘ ʂ
obserwowania	ɔ p s ɛ r v ɔ v a ɲ a
obserwowany	ɔ p s ɛ r v ɔ v a n ɘ
oburza	ɔ b u ʐ a
oddaniu	ɔ d d a ɲ u
odniosły	ɔ d ɲ ɔ s w ɘ
odnotował	ɔ d n ɔ t ɔ v a w
odpowiedziało	ɔ t p ɔ v j ɛ d͡ʑ a w ɔ
odwiedzi	ɔ d v j ɛ d͡ʑ i
ojczystego	ɔ j t͡ʂ ɘ s t ɛ ɡ ɔ
okresowe	ɔ k r ɛ s ɔ v ɛ
okrucieństwa	ɔ k r u t͡ɕ ɛ ɲ s t f a
ol	ɔ l
optymistą	ɔ p t ɘ m i s t ɔ w̃
osobiscie	ɔ s ɔ b i s t͡ɕ ɛ
otrzymujesz	ɔ t ʂ ɘ m u j ɛ ʂ
otworu	ɔ t f ɔ r u
pakuje	p a k u j ɛ
paliwem	p a l i v ɛ m
panującego	p a n u j ɔ n t͡s ɛ ɡ ɔ
parkiecie	p a r k j ɛ t͡ɕ ɛ
parlamentarzystów	p a r l a m ɛ n t a ʐ ɘ s t u f
pasje	p a s j ɛ
pionowe	p j ɔ n ɔ v ɛ
pisowski	p i s ɔ f s k i
pisza	p i ʂ a
platformach	p l a t f ɔ r m a x
pocałunku	p ɔ t͡s a w u ŋ k u
pociągnął	p ɔ t͡ɕ ɔ ŋ ɡ n ɔ w
podwodnych	p ɔ d v ɔ d n ɘ x
pograniczu	p ɔ ɡ r a ɲ i t͡ʂ u
pokryje	p ɔ k r ɘ j ɛ
popełnionych	p ɔ p ɛ w ɲ ɔ n ɘ x
pos	p ɔ s
poselskiego	p ɔ s ɛ l s k j ɛ ɡ ɔ
postępowaniem	p ɔ s t ɛ m p ɔ v a ɲ ɛ m
powiadam	p ɔ v j a d a m
powiatowym	p ɔ v j a t ɔ v ɘ m
powiedziala	p ɔ v j ɛ d͡ʑ a l a
pozarządowymi	p ɔ z a ʐ ɔ n d ɔ v ɘ m i
poziome	p ɔ ʑ ɔ m ɛ
pradesh	p r a d ɛ ʂ
prawdziwości	p r a v d͡ʑ i v ɔ ɕ t͡ɕ i
premie	p r ɛ m j ɛ
promocyjnej	p r ɔ m ɔ t͡s ɘ j n ɛ j
przedsiębiorcą	p ʂ ɛ t ɕ ɛ m b j ɔ r t͡s ɔ w̃
przedstawiany	p ʂ ɛ t s t a v j a n ɘ
przejazdów	p ʂ ɛ j a z d u f
przejmujesz	p ʂ ɛ j m u j ɛ ʂ
przekazie	p ʂ ɛ k a ʑ ɛ
przemianę	p ʂ ɛ m j a n ɛ
przeprowadziłem	p ʂ ɛ p r ɔ v a d͡ʑ i w ɛ m
przerwach	p ʂ ɛ r v a x
przestaję	p ʂ ɛ s t a j ɛ
przestępczej	p ʂ ɛ s t ɛ m p t͡ʂ ɛ j
przybyciem	p ʂ ɘ b ɘ t͡ɕ ɛ m
przygotuje	p ʂ ɘ ɡ ɔ t u j ɛ
przyjechało	p ʂ ɘ j ɛ x a w ɔ
przyjmowane	p ʂ ɘ j m ɔ v a n ɛ
przypisane	p ʂ ɘ p i s a n ɛ
przystąpili	p ʂ ɘ s t ɔ m p i l i
pu	p u
racing	r a t͡ɕ i ŋ k
radykałów	r a d ɘ k a w u f
rene	r ɛ n ɛ
rezolucji	r ɛ z ɔ l u t͡s j i
rezygnują	r ɛ z ɘ ɡ n u j ɔ w̃
robil	r ɔ b i l
rodzenia	r ɔ d͡z ɛ ɲ a
romansu	r ɔ m a n s u
rosnącym	r ɔ s n ɔ n t͡s ɘ m
roth	r ɔ t
rozegrane	r ɔ z ɛ ɡ r a n ɛ
rozegrał	r ɔ z ɛ ɡ r a w
rozległych	r ɔ z l ɛ ɡ w ɘ x
rozrachunku	r ɔ z r a x u ŋ k u
rozstrzygnięcia	r ɔ s s t ʂ ɘ ɡ ɲ ɛ ɲ t͡ɕ a
rynkowej	r ɘ ŋ k ɔ v ɛ j
różnił	r u ʐ ɲ i w
samodzielna	s a m ɔ d͡ʑ ɛ l n a
scenariuszem	s t͡s ɛ n a r j u ʂ ɛ m
skupione	s k u p j ɔ n ɛ
składnikiem	s k w a d ɲ i k j ɛ m
slabo	s l a b ɔ
socjalna	s ɔ t͡s j a l n a
sołectwa	s ɔ w ɛ t͡s t f a
spaceru	s p a t͡s ɛ r u
specjalizujący	s p ɛ t͡s j a l i z u j ɔ n t͡s ɘ
stosunkiem	s t ɔ s u ŋ k j ɛ m
strzelcem	s t ʂ ɛ l t͡s ɛ m
stworzonego	s t f ɔ ʐ ɔ n ɛ ɡ ɔ
stworzonym	s t f ɔ ʐ ɔ n ɘ m
tajemniczej	t a j ɛ m ɲ i t͡ʂ ɛ j
tarnowskich	t a r n ɔ f s k i x
teksasu	t ɛ k s a s u
terenowych	t ɛ r ɛ n ɔ v ɘ x
turcję	t u r t͡s j ɛ
twórczych	t f u r t͡ʂ ɘ x
tygodniku	t ɘ ɡ ɔ d ɲ i k u
udostępniona	u d ɔ s t ɛ m p ɲ ɔ n a
umieszczonym	u m j ɛ ʂ t͡ʂ ɔ n ɘ m
umieścili	u m j ɛ ɕ t͡ɕ i l i
unit	u ɲ i t
ustawami	u s t a v a m i
utrzymał	u t ʂ ɘ m a w
uzbekistanu	u z b ɛ k i s t a n u
uznaję	u z n a j ɛ
volkswagen	v ɔ l k s f a ɡ ɛ n
